message_number,date,city,visa_center,history,history_country,limit
33,13 май 2022,Новосибирск,ВЦ визаметрик,Годовые и больше,Германия в истории,Год и больше
34,03 июн 2022,Калининград,ВЦ визаметрик,Годовые и больше,Другие страны,Год и больше
35,10 июн 2022,Санкт-Петербург,ВЦ Визаметрик,Нет,Нет,Даты поездки
36,12 июн 2022,Москва,ВЦ визаметрик,Годовые и больше,Другие страны,Год и больше
37,15 июн 2022,Екатеринбург,Визовый центр,Годовые и больше,Германия в истории,Год и больше
38,21 июн 2022,Москва,ВЦ,Годовые и больше,Другие страны,Год и больше
39,23 июн 2022,Москва,ВЦ VISAMETRIC,Годовые и больше,Другие страны,Год и больше
40,24 июн 2022,Санкт-Петербург,ВЦ Визаметрик,Годовые и больше,Германия в истории,Полгода
41,24 июн 2022,Москва,ВЦ,Полугодовые,Другие страны,Меньше полугода
42,28 июн 2022,Москва,ВЦ,Годовые и больше,Германия в истории,Год и больше
43,29 июн 2022,Новосибирск,ВЦ VisaMetric,Годовые и больше,Германия в истории,Год и больше
44,01 июл 2022,Москва,Визаметрик,Нет,Нет,Полгода
45,06 июл 2022,Калининград,ВЦ,Годовые и больше,Другие страны,Год и больше
46,07 июл 2022,Калининград,45 NaN,Полугодовые,Другие страны,Год и больше
47,08 июл 2022,Москва,Визаметрик,Нет,Другие страны,Меньше полугода
48,09 июл 2022,Санкт-Петербург,Визаметрик,Полугодовые,Германия в истории,Год и больше
49,12 июл 2022,Санкт-Петербург,Визаметрик;,Годовые и больше,Другие страны,Год и больше
50,12 июл 2022,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
51,12 июл 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
52,12 июл 2022,Екатеринбург,Визаметрик,Годовые и больше,Германия в истории,Год и больше
53,12 июл 2022,Санкт-Петербург,Визаметрик,Меньше полугода,Другие страны,Отказ
54,12 июл 2022,Москва,Визаметрик на Киевской,Годовые и больше,Германия в истории,Год и больше
55,12 июл 2022,Москва,Визаметрик Киевская,Годовые и больше,Германия в истории,Год и больше
56,12 июл 2022,Москва,Визаметрик,Нет,Нет,Меньше полугода
57,14 июл 2022,Санкт-Петербург,Визаметрик,Нет,Нет,Отказ
58,14 июл 2022,Калининград,Визаметрик,Нет,Нет,Год и больше
59,14 июл 2022,Москва,Visametric,Годовые и больше,Германия в истории,Год и больше
60,14 июл 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
61,15 июл 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
62,15 июл 2022,Екатеринбург,Визаметрик,Годовые и больше,Другие страны,Год и больше
63,15 июл 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
64,16 июл 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
65,16 июл 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
66,18 июл 2022,Москва,Визаметрик Киевская,Нет,Нет,Меньше полугода
67,18 июл 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
68,18 июл 2022,Екатеринбург,Визаметрик,Годовые и больше,Германия в истории,Год и больше
69,19 июл 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
70,20 июл 2022,Москва,ВЦ Visametric,Годовые и больше,Другие страны,Год и больше
71,20 июл 2022,Москва,Visametric,Годовые и больше,Нет,Меньше полугода
72,20 июл 2022,Москва,Визовый центр. метро Киевская,Годовые и больше,Германия в истории,Год и больше
73,21 июл 2022,Москва,визаметрик,Нет,Нет,Меньше полугода
74,22 июл 2022,Екатеринбург,ВЦ Визаметрик,Нет,Нет,Даты поездки
75,22 июл 2022,Москва,Визаметрик,Полугодовые,Германия в истории,Год и больше
76,22 июл 2022,Екатеринбург,ВЦ Визаметрик.,Годовые и больше,Другие страны,Меньше полугода
78,25 июл 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
79,25 июл 2022,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
80,25 июл 2022,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
81,26 июл 2022,Калининград,ВЦ Визаметрик,Годовые и больше,Другие страны,Год и больше
82,26 июл 2022,Калининград,ВЦ Визаметрик,Годовые и больше,Другие страны,Год и больше
83,27 июл 2022,Москва,ВЦ Визаметрик,Годовые и больше,Другие страны,Меньше полугода
84,27 июл 2022,Москва,ВЦ Визаметрик,Не понять,Другие страны,Год и больше
85,28 июл 2022,Санкт-Петербург,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
86,28 июл 2022,Екатеринбург,ВЦ Визаметрик,Годовые и больше,Другие страны,Год и больше
87,28 июл 2022,Санкт-Петербург,ВЦ Визаметрик,Полугодовые,Другие страны,Даты поездки
88,29 июл 2022,Новосибирск,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
89,29 июл 2022,Москва,ВЦ,Годовые и больше,Германия в истории,Год и больше
90,29 июл 2022,Екатеринбург,ВЦ визаметрик,Полугодовые,Другие страны,Год и больше
91,29 июл 2022,Москва,ВЦ,Годовые и больше,Другие страны,Год и больше
92,30 июл 2022,Екатеринбург,ВЦ,Годовые и больше,Германия в истории,Год и больше
93,03 авг 2022,Екатеринбург,ВЦ визаметрик,Полугодовые,Другие страны,Год и больше
94,03 авг 2022,Москва,93 NaN,Годовые и больше,Другие страны,Год и больше
95,03 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
96,04 авг 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
97,04 авг 2022,Санкт-Петербург,ВЦ,Годовые и больше,Другие страны,Год и больше
98,05 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
99,05 авг 2022,Москва,ВЦ,Годовые и больше,Другие страны,Год и больше
100,05 авг 2022,Москва,ВЦ Визаметрик,Годовые и больше,Германия в истории,Год и больше
101,05 авг 2022,Москва,ВЦ,Годовые и больше,Германия в истории,Год и больше
102,06 авг 2022,Санкт-Петербург,Визаметрик,Годовые и больше,Германия в истории,Год и больше
103,06 авг 2022,Калининград,Визаметрик,Годовые и больше,Нет,Год и больше
104,08 авг 2022,Новосибирск,Визаметрик,Меньше полугода,Германия в истории,Год и больше
105,09 авг 2022,Москва,104 NaN,Нет,Другие страны,Меньше полугода
106,09 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
107,09 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
108,09 авг 2022,Екатеринбург,Визаметрик,Полугодовые,Германия в истории,Полгода
109,10 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
110,10 авг 2022,Санкт-Петербург,Визаметрик,Годовые и больше,Германия в истории,Год и больше
111,11 авг 2022,Москва,110 NaN,Даты поездки,Другие страны,Год и больше
112,12 авг 2022,Екатеринбург,Визаметрик,Даты поездки,Другие страны,Меньше полугода
113,12 авг 2022,Калининград,Визаметрик,Годовые и больше,Другие страны,Меньше полугода
114,12 авг 2022,Екатеринбург,113 NaN,Нет,Нет,Меньше полугода
115,15 авг 2022,Екатеринбург,Визаметрик,Меньше полугода,Другие страны,Меньше полугода
116,15 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
117,15 авг 2022,Москва,ВЦ,Нет,Нет,Полгода
118,16 авг 2022,Москва,ВЦ,Годовые и больше,Другие страны,Год и больше
119,16 авг 2022,Москва,ВЦ Visametric на Киевской,Годовые и больше,Другие страны,Год и больше
120,16 авг 2022,Екатеринбург,Визаметрик,Нет,Нет,Даты поездки
121,16 авг 2022,Москва,Визаметрик на Киевской,Даты поездки,Другие страны,Год и больше
122,17 авг 2022,Москва,ВЦ Visametric на Киевской,Даты поездки,Другие страны,Полгода
123,18 авг 2022,Екатеринбург,Визаметрик,Годовые и больше,Другие страны,Даты поездки
124,19 авг 2022,Москва,Visametric на Киевской,Полугодовые,Германия в истории,Полгода
125,19 авг 2022,Москва,ВЦ Visametric на Киевской,Нет,Нет,Меньше полугода
126,19 авг 2022,Екатеринбург,Визаметрик,Годовые и больше,Германия в истории,Полгода
127,19 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
128,23 авг 2022,Москва,ВЦ,Годовые и больше,Германия в истории,Год и больше
129,23 авг 2022,Калининград,ВЦ,Годовые и больше,Германия в истории,Год и больше
130,23 авг 2022,Санкт-Петербург,Визаметрик,Полугодовые,Другие страны,Меньше полугода
131,23 авг 2022,Калининград,Визаметрик,Годовые и больше,Германия в истории,Год и больше
132,23 авг 2022,Москва,ВЦ,Годовые и больше,Другие страны,Год и больше
133,24 авг 2022,Москва,ВЦ,Меньше полугода,Германия в истории,Год и больше
134,24 авг 2022,Москва,"Визаметрик, Киевская",Годовые и больше,Германия в истории,Год и больше
135,24 авг 2022,Москва,ВЦ Визаметрик на Киевской,Годовые и больше,Германия в истории,Год и больше
136,24 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
137,24 авг 2022,Москва,ВЦ Киевский,Меньше полугода,Другие страны,Год и больше
138,24 авг 2022,Москва,ВЦ Киевский,Годовые и больше,Германия в истории,Год и больше
139,24 авг 2022,Москва,ВЦ,Годовые и больше,Германия в истории,Год и больше
140,25 авг 2022,Москва,ВЦ,Даты поездки,Другие страны,Меньше полугода
141,25 авг 2022,Москва,ВЦ,Нет,Нет,Меньше полугода
142,26 авг 2022,Екатеринбург,Визаметрик,Нет,Нет,Даты поездки
143,26 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
144,26 авг 2022,Москва,Визаметрик,Годовые и больше,Германия в истории,Год и больше
145,26 авг 2022,Москва,Визаметрик,Полугодовые,Другие страны,Год и больше
146,26 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
147,28 авг 2022,Москва,ВЦ,Годовые и больше,Другие страны,Год и больше
148,28 авг 2022,Москва,ВЦ Visametric,Годовые и больше,Другие страны,Год и больше
149,29 авг 2022,Екатеринбург,ВЦ Visametric,Даты поездки,Другие страны,Даты поездки
150,29 авг 2022,Москва,Визаметрик,Даты поездки,Германия в истории,Год и больше
151,30 авг 2022,Москва,ВЦ Visametric,Полугодовые,Другие страны,Год и больше
152,31 авг 2022,Москва,ВЦ Visametric,Меньше полугода,Германия в истории,Год и больше
153,31 авг 2022,Москва,ВЦ Visametric,Годовые и больше,Германия в истории,Год и больше
154,31 авг 2022,Москва,Визаметрик,Годовые и больше,Другие страны,Год и больше
155,31 авг 2022,Калининград,ВЦ,Годовые и больше,Германия в истории,Год и больше
156,31 авг 2022,Москва,ВЦ Visametric,Даты поездки,Другие страны,Год и больше
